,Title,Country,Lat,Lng
246,Grimus by Salman Rushdie,india,20.593684,78.96288
247,Grimus by Salman Rushdie,england,52.3555177,-1.1743197
248,The Valley of Amazement by Amy Tan,china,35.86166,104.195397
249,The Valley of Amazement by Amy Tan,usa,37.09024,-95.712891
250,The Opposite of Fate by Amy Tan,usa,37.09024,-95.712891
251,Woven in Moonlight by Isabel Ibañez,bolivia,-16.290154,-63.58865299999999
252,The People in the Trees by Hanya Yanagihara,asia,34.047863,100.6196553
253,The People in the Trees by Hanya Yanagihara,micronesia,7.425554,150.550812
254,The People in the Trees by Hanya Yanagihara,usa,37.09024,-95.712891
255,"Growing up Asian in Australia, edited by Alice Pung",australia,-25.274398,133.775136
256,The Boat by Nam Lee ,vietnam,14.058324,108.277199
257,The Boat by Nam Lee ,australia,-25.274398,133.775136
258,"Everything, Everything by Nicola Yoon",usa,37.09024,-95.712891
259,On Beauty by Zadie Smith,england,52.3555177,-1.1743197
260,The White Tiger by Aravind Adiga,india,20.593684,78.96288
261,Sex and Vanity by Kevin Kwan,usa,37.09024,-95.712891
262,If I Had Your Face by Frances Cha,south korea,35.907757,127.766922
263,My China: A Feast for All the Senses by Kylie Kwong,china,35.86166,104.195397
264,My China: A Feast for All the Senses by Kylie Kwong,australia,-25.274398,133.775136
265,Lantern Cookery Classics: Kylie Kwong,china,35.86166,104.195397
266,Lantern Cookery Classics: Kylie Kwong,australia,-25.274398,133.775136
267,Dreams From my Father by Barack Obama,kenya,-0.023559,37.906193
268,Dreams From my Father by Barack Obama,usa,37.09024,-95.712891
269,On the Come Up by Angie Thomas,usa,37.09024,-95.712891
270,Persepolis (Books 1 & 2; film-tie in) by Marjane Satrapi,iran,32.427908,53.688046
271,Who Am I? by Anita Heiss,australia,-25.274398,133.775136
272,Queenie by Candice Carty-Williams,jamaica,18.109581,-77.297508
273,Queenie by Candice Carty-Williams,england,52.3555177,-1.1743197
274,The Sympathizer by Viet Thanh Nguyen,vietnam,14.058324,108.277199
275,The Sympathizer by Viet Thanh Nguyen,usa,37.09024,-95.712891
276,"Austenistan, edited by Laaleen Sukhera",pakistan,30.375321,69.34511599999999
